Titel  - http://www.opendatakaart.nl/catalogus/datasets/datasets_dataset/t/kantorenleegstand_2013	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	gemeente	Nr	naam gebouw	adres_2	Bouwjaar	bvo	leeg/vrijkomend	jaar leeg		Website
prof w h keesomlaan 1	prof_w_h_keesomlaan_1_1		0000-00-00 00:00:00	prof w h keesomlaan 1			POINT(4.8808085 52.3180801)		amstelveen		amstelveen	271	nieuw kronenburg	prof w h keesomlaan 1	1992	12000	11000	vrijk-11	92%	"
"
laan van kronenburg 2	laan_van_kronenburg_2_1		0000-00-00 00:00:00	laan van kronenburg 2			POINT(4.8788846 52.3183056)		amstelveen		amstelveen	272		laan van kronenburg 2	1970	20400	17500	vrijk-9	86%	"
"
prof w h keesomlaan 6	prof_w_h_keesomlaan_6_1		0000-00-00 00:00:00	prof w h keesomlaan 6			POINT(4.88135 52.3189051)		amstelveen		amstelveen	273	helium building	prof w h keesomlaan 6	2000	2600	2000	3-4	75%	"
"
prof w h keesomlaan 8	prof_w_h_keesomlaan_8_1		0000-00-00 00:00:00	prof w h keesomlaan 8			POINT(4.881369 52.3190308)		amstelveen		amstelveen	274	helium building	prof w h keesomlaan 8	1996	7100	7100	2-3	100%	"
"
stroombaan 10-16	stroombaan_10_16_1		0000-00-00 00:00:00	stroombaan 10-16			POINT(4.8706623 52.3015252)		amstelveen		amstelveen	275	the garden	stroombaan 10-16	1999	17000	17000	1-2	100%	"
"
groen v prinstererlaan 114-114a	groen_v_prinstererlaan_114_114a_1		0000-00-00 00:00:00	groen v prinstererlaan 114-114a			POINT(4.8664799 52.3042755)		amstelveen		amstelveen	277	park plaza	groen v prinstererlaan 114-114a		3100	3100	1-7	100%	"
"
gondel 1	gondel_1		0000-00-00 00:00:00	gondel 1			POINT(4.85981 52.2844008)		amstelveen		amstelveen	280	de gondel	gondel 1	1990	15000	10300	0-6	69%	"
"
maalderij 21	maalderij_21_1		0000-00-00 00:00:00	maalderij 21			POINT(4.8406257 52.2903984)		amstelveen		amstelveen	281		maalderij 21		2800	2800	4-9	100%	"
"
burgemeester rijnderslaan 20-30	burgemeester_rijnderslaan_20_30_1		0000-00-00 00:00:00	burgemeester rijnderslaan 20-30			POINT(4.8637304 52.2987089)		amstelveen		amstelveen	282	ten thirty	burgemeester rijnderslaan 20-30	1990	50000	50000	2-3	100%	"
"
bouwerij 14-44	bouwerij_14_44_1		0000-00-00 00:00:00	bouwerij 14-44			POINT(4.8395047 52.2826457)		amstelveen		amstelveen	283	world wide building	bouwerij 14-44	1990	7200	5200	2-11	72%	"
"
bouwerij 88	bouwerij_88_1		0000-00-00 00:00:00	bouwerij 88			POINT(4.8351466 52.2795516)		amstelveen		amstelveen	284		bouwerij 88	1992	1900	1900	7-12	100%	"
"
zanderij 29-31	zanderij_29_31_1		0000-00-00 00:00:00	zanderij 29-31			POINT(4.8386085 52.2792621)		amstelveen		amstelveen	286		zanderij 29-31		3800	3800	6-7	100%	"
"
doctor willem dreesweg 6-8	doctor_willem_dreesweg_6_8_1		0000-00-00 00:00:00	doctor willem dreesweg 6-8			POINT(4.8413859 52.2798142)		amstelveen		amstelveen	287		doctor willem dreesweg 6-8	1988	2800	2800	3-5	100%	"
"
